species,Togo_c,Togo_1,Togo_2,Togo_5,Cameroon_c,Cameroon_1,Cameroon_2,Cameroon_5,Nigeria_c,Nigeria_1,Nigeria_2,Nigeria_5,Norway_c,Norway_1,Norway_2,Norway_5,Zambia_c,Zambia_1,Zambia_2,Zambia_5,Kenya_c,Kenya_1,Kenya_2,Kenya_5,Bhutan_c,Bhutan_1,Bhutan_2,Bhutan_5,France_c,France_1,France_2,France_5,Portugal_c,Portugal_1,Portugal_2,Portugal_5,Ethiopia_c,Ethiopia_1,Ethiopia_2,Ethiopia_5,s_Species,s_Official_country,curr_pred_cost_mean,ssp1_pred_cost_mean,ssp2_pred_cost_mean,ssp5_pred_cost_mean,total_cost_top10,sample,group
Aedes aegypti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelges piceae,Canada,7099.312765,8170.213487,8027.519385,8167.185907,Togo,Togo_c,Togo_c
Anthonomus grandis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Adelges tsugae,United States,16.4369052,13.96363562,13.24957655,13.71629948,Cameroon,Togo_1,Togo_1
Rattus rattus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Argentina,1160.174957,1372.346781,1362.817997,1371.946396,Nigeria,Togo_2,Togo_2
Coptotermes formosanus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Australia,7.861238108,8.938685447,8.69258808,9.137562341,Norway,Togo_5,Togo_5
Bursaphelenchus mucronatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Belize,918.5327009,1044.470778,1044.679206,1045.023904,Zambia,Cameroon_c,Cameroon_c
Spodoptera frugiperda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Bhutan,658.8765652,910.2710639,901.2439558,917.101613,Kenya,Cameroon_1,Cameroon_1
Haematobia irritans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Bolivia,1642.067572,2063.087613,2061.751986,2079.627162,Bhutan,Cameroon_2,Cameroon_2
Rhipicephalus microplus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Brazil,4910.60853,5873.344905,5781.672548,5818.067534,France,Cameroon_5,Cameroon_5
Stomoxys calcitrans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Brunei,732.2287975,770.3351276,743.0730289,764.2707143,Portugal,Nigeria_c,Nigeria_c
Anoplophora glabripennis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Cambodia,4282.465869,4976.407208,4928.344417,4991.604935,Ethiopia,Nigeria_1,Nigeria_1
Chilo partellus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Canada,628.7684694,702.8715239,693.5245426,719.386489,,Nigeria_2,Nigeria_2
Frankliniella occidentalis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Chile,2008.219125,2572.5525,2520.343368,2562.707147,,Nigeria_5,Nigeria_5
Liriomyza huidobrensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,China,2700.789702,2512.181819,2490.167363,2553.684857,,Norway_c,Norway_c
Aedes albopictus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Colombia,298.1411102,341.4632758,339.9352989,345.5972959,,Norway_1,Norway_1
Vespa velutina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Cuba,2243.077089,1789.080615,1765.631483,1799.271811,,Norway_2,Norway_2
Prostephanus truncatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Ecuador,227.0919246,262.8107271,262.0937928,265.4463908,,Norway_5,Norway_5
Neovison vison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Guatemala,1455.699677,1791.572303,1784.42293,1801.185264,,Zambia_c,Zambia_c
Nyctereutes procyonoides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,India,13667.78849,16541.51924,16337.30638,16681.59872,,Zambia_1,Zambia_1
Gyrodactylus salaris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Indonesia,5775.23371,6299.982337,6142.589292,6334.27416,,Zambia_2,Zambia_2
Procambarus clarkii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Laos,1207.376607,1399.077514,1392.055802,1403.61676,,Zambia_5,Zambia_5
Corbicula fluminea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Malaysia,4958.994644,5678.067696,5628.157534,5717.933231,,Kenya_c,Kenya_c
Phoxinus phoxinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Mexico,3368.374036,4203.017954,4162.985372,4228.052564,,Kenya_1,Kenya_1
Tinca tinca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Aedes aegypti,Myanmar,1559.203657,1874.465858,1834.06761,1887.736535,,Kenya_2,Kenya_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Nicaragua,370.1681713,405.3425516,403.622818,407.8275164,,Kenya_5,Kenya_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Panama,187.1414263,216.1337366,217.734777,217.5895581,,Bhutan_c,Bhutan_c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Paraguay,1626.661485,1929.726934,1916.553235,1948.318346,,Bhutan_1,Bhutan_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Peru,3623.826288,4546.587849,4492.958849,4503.283502,,Bhutan_2,Bhutan_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Philippines,3525.109912,4112.985192,4083.219469,4145.904814,,Bhutan_5,Bhutan_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Singapore,2658.080613,3029.817105,3036.287074,3092.814189,,France_c,France_c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Suriname,948.9193665,1058.65145,1060.19481,1067.43709,,France_1,France_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Thailand,10662.0694,12276.71151,12209.36553,12433.51029,,France_2,France_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Timor-Leste,809.9023056,993.441591,978.0580387,970.6139623,,France_5,France_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,United States,11343.86954,13197.47673,12931.38394,13453.9149,,Portugal_c,Portugal_c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Uruguay,1470.810564,1657.817827,1615.462913,1660.242395,,Portugal_1,Portugal_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes aegypti,Vietnam,6303.430841,6127.965845,6065.778753,6102.775121,,Portugal_2,Portugal_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes albopictus,France,1.507390572,1.605101634,1.549972084,1.61990695,,Portugal_5,Portugal_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes albopictus,Italy,1.045842011,1.110453322,1.071982887,1.108494165,,Ethiopia_c,Ethiopia_c
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes albopictus,Spain,0.967641755,1.044632141,1.020297841,1.053661513,,Ethiopia_1,Ethiopia_1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes albopictus,United States,3.654125598,3.666998074,3.549959146,3.808004421,,Ethiopia_2,Ethiopia_2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aedes camptorhynchus,New Zealand,968.6172225,1030.795928,1011.464075,1060.648108,,Ethiopia_5,Ethiopia_5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrilus planipennis,Canada,99.65245502,102.1227888,101.3792742,103.7482531,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrilus planipennis,United States,1219.673059,1276.451451,1258.321437,1279.245886,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aleurodicus rugioperculatus,India,0.000553994,0.000716569,0.000711389,0.000727445,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Alopochen aegyptiaca,Netherlands,0.842537338,1.053334291,1.050887261,1.064448078,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anastrepha fraterculus,Argentina,108.8230738,125.6490282,126.1590358,124.0065122,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anolis carolinensis,Japan,0.24644196,0.223560264,0.223215289,0.21332666,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anopheles darlingi,Peru,620.5702386,712.3828247,726.7888661,726.521063,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora chinensis,Italy,50.21859012,56.62232146,55.52438011,61.91984445,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora glabripennis,Austria,468.3358729,512.3954653,489.4757234,515.7798762,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora glabripennis,Canada,4900.694311,5674.927013,5330.164372,5939.340933,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora glabripennis,France,423.7807188,574.1060487,541.6050112,620.2672639,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora glabripennis,Germany,505.4466011,608.6243156,572.8670227,636.1777344,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anoplophora glabripennis,United States,5458.363448,5598.552666,5369.675634,5743.163133,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthonomus grandis,Argentina,131.7276053,159.7673895,158.6017425,165.011895,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anthonomus grandis,United States,81283.86175,91210.73485,90071.53785,94066.10994,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arion lusitanicus,Sweden,171.7260777,136.4703719,134.9688865,139.8799634,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrocera philippinensis,Australia,1006.835828,1314.049643,1303.140026,1061.226461,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bactrocera tryoni,Australia,424.9896783,372.5510827,396.5028395,402.5938723,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bemisia tabaci,United Kingdom,1.192361515,0.002367051,0.002367051,0.002367051,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boiga irregularis,United States,2.931982385,3.360237164,3.303035201,3.392373965,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Branta canadensis,United Kingdom,4.916704941,5.125472959,5.259999948,5.445963943,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bruchus pisorum,China,29.14293715,34.52525404,33.96661831,34.83601445,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bursaphelenchus mucronatus,China,27985.91177,33537.62539,31649.51977,32476.69194,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bursaphelenchus mucronatus,Japan,10.21247107,11.02247863,9.860069392,10.25455536,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bursaphelenchus mucronatus,Sweden,0.732198171,0.815211263,0.596244303,0.825908335,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cactoblastis cactorum,Mexico,250.1887969,345.1318953,338.3033718,314.1034815,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Callosciurus erythraeus,Japan,3.032969452,3.255937058,3.22802482,3.242112169,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Camelus dromedarius,Australia,50.51048728,53.76693403,52.72155003,57.28130496,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cameraria ohridella,Germany,62.43424869,65.89612432,65.47697651,66.41159784,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canis lupus,Australia,1640.520867,1812.484165,1889.930594,1846.936462,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canis lupus,United States,5312.109016,5915.296481,5909.84954,5908.263544,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capra hircus,Australia,172.2408041,199.9311524,195.1700865,200.3112761,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capra hircus,New Zealand,8.192817741,9.199880623,9.137703074,11.03952457,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Castor canadensis,Chile,1.394748649,1.758785172,1.7694447,1.413598686,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceratitis capitata,Argentina,419.0274682,464.3934408,466.3284668,467.387093,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceutorhynchus obstrictus,Canada,1153.088925,1429.395839,1415.974227,1462.548993,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chelydra serpentina,Japan,0.081777994,0.087143311,0.082209106,0.086655899,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chilo partellus,Ethiopia,524.5393056,720.0929561,703.888203,734.909152,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chilo partellus,Kenya,602.1989424,833.9317046,827.7223094,860.7447308,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chilo partellus,Malawi,649.2997062,857.7615476,831.5842089,874.6211201,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chilo partellus,Tanzania,810.9708657,1069.398275,1051.197486,1088.391561,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cochliomyia hominivorax,Australia,9182.226,10523.06681,10595.48191,11188.94993,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coptotermes formosanus,United States,41426.03498,48120.39931,48556.98736,49347.85135,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coptotermes gestroi,Fiji,47.68851316,52.1477818,51.58128932,49.44108568,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corbicula fluminea,Portugal,0.481686537,0.640522602,0.634027042,0.533186135,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cydia pomonella,China,3941.659541,5562.372684,5623.617727,5824.454772,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cygnus olor,United Kingdom,0.825302202,0.914401172,0.907674135,0.93459369,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daktulosphaira vitifoliae,Australia,1.7206388,2.143358757,2.167871333,2.097556175,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daktulosphaira vitifoliae,China,3.959487998,4.921957434,4.579292839,4.978137714,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dendroctonus micans,United Kingdom,1.572560506,1.912452609,1.909191723,1.961551288,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dreissena polymorpha,United Kingdom,11.15707893,12.68529028,12.70724334,13.17281907,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dreissena polymorpha,United States,9432.122451,10473.22873,10363.11503,10629.93114,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drosophila suzukii,United States,133.901108,144.0083583,139.6305228,144.0003009,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Elatobium abietinum,United Kingdom,22.94376275,26.65627444,26.20200794,27.3715398,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ephestia kuehniella,Germany,20.76368811,15.49844879,13.42796738,16.93841487,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Equus caballus,Australia,1.036607891,1.194734488,1.198668836,1.230214536,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felis catus,Australia,7015.213432,8079.551009,7844.193765,8186.263597,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Felis catus,Spain,0.491870288,0.537369501,0.529008779,0.551363588,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Frankliniella occidentalis,Norway,591.4049626,477.1606517,529.9218258,507.1677927,,,
