Country_name,show_Country_name,mag,log_mag,propchange,group,trend,Knowledge_funding,Mixed,Nodata,Post_invasion_management,Pre_invasion_management,Unspecified,sumsample,prop_post_mag
Japan,,250.6433986,2.400785542,1.251931806,ssp1,Positive,21,4,94,22,11,0,152,0.144736842
United Kingdom,,330.8582916,2.520952673,1.004804795,ssp1,Positive,9,5,14,21,0,0,49,0.428571429
France,,32.28370517,1.522231666,0.742281031,ssp1,Positive,8,0,0,2,1,0,11,0.181818182
Spain,,57.11141526,1.764261452,0.682165694,ssp1,Positive,1,0,0,17,0,0,18,0.944444444
Germany,,52.00173848,1.724290115,0.578522386,ssp1,Positive,0,0,9,9,0,0,18,0.5
Australia,Australia,494.8477973,2.695348388,0.64763013,ssp1,Positive,4,1,53,41,0,0,99,0.414141414
Chile,,77.75693968,1.896288832,0.483187788,ssp1,Positive,0,0,15,2,0,0,17,0.117647059
Thailand,Thailand,0,0,0.35739566,ssp1,Positive,0,0,5,6,0,0,11,0.545454545
India,India,18.49843636,1.289999785,0.305613024,ssp1,Positive,0,0,7,2,0,0,9,0.222222222
Malaysia,,4.607057236,0.748734989,0.262201619,ssp1,Positive,0,0,3,2,0,0,5,0.4
Brazil,,4.192343151,0.715363386,0.255839505,ssp1,Positive,0,0,3,4,0,0,7,0.571428571
Indonesia,Indonesia,2.163466334,0.500163217,0.244633252,ssp1,Positive,0,0,3,1,0,0,4,0.25
Cambodia,,0,0,0.237301217,ssp1,Positive,0,0,3,2,0,0,5,0.4
Mexico,,64.39405843,1.815538291,0.247728324,ssp1,Positive,3,1,2,5,0,1,12,0.416666667
Fiji,,18.16901408,1.282599776,0.209262374,ssp1,Positive,1,1,3,1,0,0,6,0.166666667
China,China,78.7018111,1.90146819,0.197099568,ssp1,Positive,17,0,11,1,0,0,29,0.034482759
Vietnam,Vietnam,4.724668196,0.75775032,0.175783678,ssp1,Positive,0,1,4,0,0,0,5,0
Peru,,8.058164757,0.957040216,0.154352466,ssp1,Positive,0,1,3,2,0,0,6,0.333333333
Italy,,16.95815254,1.254261656,0.150133295,ssp1,Positive,0,0,3,6,0,0,9,0.666666667
Singapore,,1.55,0.40654018,0.132305905,ssp1,Positive,0,0,3,1,0,0,4,0.25
New Zealand,,187.6586202,2.275676654,0.119995442,ssp1,Positive,9,0,5,11,0,0,25,0.44
Cuba,,11.70959052,1.104131559,0.115633493,ssp1,Positive,0,0,2,2,0,0,4,0.5
Zambia,,0,0,0.08451035,ssp1,Positive,0,0,2,0,0,0,2,0
Ghana,,0.077525451,0.032427537,0.084288782,ssp1,Positive,0,0,1,1,0,0,2,0.5
Laos,,2.950570692,0.596659838,0.06790152,ssp1,Positive,0,0,1,0,0,0,1,0
Myanmar,,0.518831878,0.181509704,0.067835978,ssp1,Positive,0,0,1,0,0,0,1,0
Philippines,Philippines,14.67100347,1.195096807,0.06309183,ssp1,Positive,0,0,4,1,0,0,5,0.2
Tanzania,,0,0,0.046851123,ssp1,Positive,0,0,2,1,0,0,3,0.333333333
Bhutan,,0,0,0.044637193,ssp1,Positive,0,0,1,0,0,0,1,0
Benin,,0,0,0.036121139,ssp1,Positive,0,0,1,1,0,0,2,0.5
Finland,,8.825595601,0.992358886,0.035266762,ssp1,Positive,0,1,0,0,0,0,1,0
Portugal,,7.357116705,0.922056467,0.033726815,ssp1,Positive,0,0,2,0,0,0,2,0
Lithuania,,1.494581749,0.396997741,0.029589469,ssp1,Positive,0,0,0,1,0,0,1,1
Canada,Canada,135.7108083,2.135802851,0.028412457,ssp1,Positive,0,1,8,1,0,0,10,0.1
Kenya,,14.2069378,1.18204177,0.028411353,ssp1,Positive,0,0,1,1,0,0,2,0.5
Timor-Leste,,0,0,0.024047488,ssp1,Positive,0,0,1,0,0,0,1,0
Togo,,0,0,0.019608444,ssp1,Positive,0,0,0,1,0,0,1,1
Austria,,3.50631769,0.653821806,0.015449466,ssp1,Positive,0,0,0,1,0,0,1,1
Malawi,,10.05239415,1.043456364,0.008148177,ssp1,Positive,0,0,2,0,0,0,2,0
Netherlands,,6.194383839,0.856993605,0.012550755,ssp1,Positive,0,0,2,2,0,0,4,0.5
Brunei,,0.910714286,0.281195751,0,ssp1,Negative,0,0,1,0,0,0,1,0
Cameroon,,0.558086158,0.192591469,0,ssp1,Negative,0,0,1,0,0,0,1,0
Democratic Republic of the Congo,,2.043153279,0.483323828,0,ssp1,Negative,0,0,1,0,0,0,1,0
Malta,,3,0.602059991,0,ssp1,Negative,0,0,0,1,0,0,1,1
Mozambique,,0,0,0,ssp1,Negative,0,0,1,0,0,0,1,0
Nigeria,,0,0,0,ssp1,Negative,0,0,1,0,0,0,1,0
Uganda,,0.829626789,0.26236251,0,ssp1,Negative,0,0,1,0,0,0,1,0
Zimbabwe,,1.014503589,0.304168045,0,ssp1,Negative,0,0,1,0,0,0,1,0
Sweden,,8.347050257,0.970674578,-0.000586675,ssp1,Negative,0,0,1,3,0,0,4,0.75
Colombia,,1.10692005,0.323648056,-0.001497424,ssp1,Negative,0,0,0,1,0,0,1,1
Ecuador,,0.566316059,0.194879401,-0.001497907,ssp1,Negative,0,0,0,1,0,0,1,1
Nicaragua,,0,0,-0.001500839,ssp1,Negative,0,0,0,1,0,0,1,1
Panama,,0,0,-0.001502065,ssp1,Negative,0,0,0,1,0,0,1,1
Suriname,,0.499419954,0.175923286,-0.001542283,ssp1,Negative,0,0,1,0,0,0,1,0
Uruguay,,2.075707547,0.487945038,-0.003020095,ssp1,Negative,0,0,1,1,0,0,2,0.5
Guatemala,,3.398760331,0.6433303,-0.003033055,ssp1,Negative,0,0,1,1,0,0,2,0.5
Bolivia,,1.115923152,0.325499891,-0.003033171,ssp1,Negative,0,0,1,1,0,0,2,0.5
Paraguay,,1,0.301029996,-0.003035014,ssp1,Negative,0,0,1,1,0,0,2,0.5
Belize,,2.95522388,0.597171071,-0.003040081,ssp1,Negative,0,0,1,1,0,0,2,0.5
Pakistan,,0,0,-0.004349109,ssp1,Negative,0,0,1,0,0,0,1,0
Ethiopia,,0,0,-0.005845393,ssp1,Negative,0,0,2,0,0,0,2,0
Norway,,199.0359701,2.301108097,-0.010710938,ssp1,Negative,0,1,3,4,0,0,8,0.5
Iceland,,13.18927589,1.151960233,-0.020627801,ssp1,Negative,0,0,0,2,0,0,2,1
Denmark,,9.776292703,1.032469379,-0.025503951,ssp1,Negative,1,2,0,0,1,0,4,0
Venezuela,,4.035562633,0.702048002,-0.088728407,ssp1,Negative,0,0,0,1,0,0,1,1
Argentina,Argentina,32.63401944,1.526778771,-0.206672952,ssp1,Negative,3,0,13,6,0,1,23,0.260869565
United States,United States,189.8930383,2.28079009,-0.565820905,ssp1,Negative,1,6,20,19,0,0,46,0.413043478
United Kingdom,,303.7539772,2.483949382,1.077361886,ssp2,Positive,9,5,14,21,0,0,49,0.428571429
France,,29.80790727,1.488662198,0.744331414,ssp2,Positive,8,0,0,2,1,0,11,0.181818182
Spain,,54.7919754,1.746571739,0.670163945,ssp2,Positive,1,0,0,17,0,0,18,0.944444444
Japan,,247.4353973,2.395213475,0.789143593,ssp2,Positive,21,4,94,22,11,0,152,0.144736842
Germany,,42.77505668,1.641226717,0.553853301,ssp2,Positive,0,0,9,9,0,0,18,0.5
Chile,,93.28812427,1.974456996,0.498210599,ssp2,Positive,0,0,15,2,0,0,17,0.117647059
Thailand,Thailand,0,0,0.374623006,ssp2,Positive,0,0,5,6,0,0,11,0.545454545
India,India,15.67971542,1.222188637,0.279302361,ssp2,Positive,0,0,7,2,0,0,9,0.222222222
Brazil,,4.188546236,0.715045691,0.261831951,ssp2,Positive,0,0,3,4,0,0,7,0.571428571
Mexico,,59.44132464,1.781333974,0.26596156,ssp2,Positive,3,1,2,5,0,1,12,0.416666667
Malaysia,,4.190515434,0.715210487,0.253048321,ssp2,Positive,0,0,3,2,0,0,5,0.4
Indonesia,Indonesia,1.931639651,0.467110587,0.247166669,ssp2,Positive,0,0,3,1,0,0,4,0.25
Cambodia,,0,0,0.221073103,ssp2,Positive,0,0,3,2,0,0,5,0.4
Fiji,,17.97887324,1.278270425,0.202066312,ssp2,Positive,1,1,3,1,0,0,6,0.166666667
Vietnam,Vietnam,4.645227156,0.751681422,0.185405427,ssp2,Positive,0,1,4,0,0,0,5,0
Peru,,7.868035214,0.947827409,0.171851894,ssp2,Positive,0,1,3,2,0,0,6,0.333333333
China,China,75.36816789,1.882912372,0.175084234,ssp2,Positive,17,0,11,1,0,0,29,0.034482759
Singapore,,1.4,0.380211242,0.141532656,ssp2,Positive,0,0,3,1,0,0,4,0.25
Italy,,15.78059627,1.224807389,0.139453501,ssp2,Positive,0,0,3,6,0,0,9,0.666666667
Cuba,,11.71928879,1.104462828,0.117900071,ssp2,Positive,0,0,2,2,0,0,4,0.5
Ghana,,0.097102585,0.040247238,0.082851965,ssp2,Positive,0,0,1,1,0,0,2,0.5
Zambia,,0,0,0.080601265,ssp2,Positive,0,0,2,0,0,0,2,0
Laos,,2.96603461,0.5983565,0.061893507,ssp2,Positive,0,0,1,0,0,0,1,0
Myanmar,,0.508477757,0.178538911,0.06187848,ssp2,Positive,0,0,1,0,0,0,1,0
Philippines,Philippines,14.59226391,1.192909177,0.059498593,ssp2,Positive,0,0,4,1,0,0,5,0.2
Tanzania,,0,0,0.04786212,ssp2,Positive,0,0,2,1,0,0,3,0.333333333
Portugal,,7.202337416,0.913937631,0.044574595,ssp2,Positive,0,0,2,0,0,0,2,0
Bhutan,,0,0,0.044478733,ssp2,Positive,0,0,1,0,0,0,1,0
Benin,,0,0,0.034214349,ssp2,Positive,0,0,1,1,0,0,2,0.5
Lithuania,,1.5,0.397940009,0.034038973,ssp2,Positive,0,0,0,1,0,0,1,1
Finland,,9.063836285,1.002763563,0.033562854,ssp2,Positive,0,1,0,0,0,0,1,0
Kenya,,14.76674641,1.197742083,0.02708933,ssp2,Positive,0,0,1,1,0,0,2,0.5
Timor-Leste,,0,0,0.024753092,ssp2,Positive,0,0,1,0,0,0,1,0
Austria,,2.585740072,0.554578805,0.014418605,ssp2,Positive,0,0,0,1,0,0,1,1
Canada,Canada,148.8798479,2.175743244,0.013902962,ssp2,Positive,0,1,8,1,0,0,10,0.1
Togo,,0,0,0.008302267,ssp2,Positive,0,0,0,1,0,0,1,1
Malawi,,10.18284669,1.048552371,0.008089645,ssp2,Positive,0,0,2,0,0,0,2,0
New Zealand,,143.9568322,2.16123869,0.046490393,ssp2,Positive,9,0,5,11,0,0,25,0.44
Cameroon,,0.487288136,0.172395114,0,ssp2,Negative,0,0,1,0,0,0,1,0
Democratic Republic of the Congo,,2.120490333,0.494222842,0,ssp2,Negative,0,0,1,0,0,0,1,0
Malta,,3,0.602059991,0,ssp2,Negative,0,0,0,1,0,0,1,1
Mozambique,,0,0,0,ssp2,Negative,0,0,1,0,0,0,1,0
Nigeria,,0,0,0,ssp2,Negative,0,0,1,0,0,0,1,0
Uganda,,0.773133947,0.248741545,0,ssp2,Negative,0,0,1,0,0,0,1,0
Zimbabwe,,1.139503589,0.330313019,0,ssp2,Negative,0,0,1,0,0,0,1,0
Panama,,0,0,-0.000399637,ssp2,Negative,0,0,0,1,0,0,1,1
Colombia,,1.051780401,0.312130877,-0.000407075,ssp2,Negative,0,0,0,1,0,0,1,1
Ecuador,,0.546818882,0.189439465,-0.000410431,ssp2,Negative,0,0,0,1,0,0,1,1
Nicaragua,,0,0,-0.000414716,ssp2,Negative,0,0,0,1,0,0,1,1
Suriname,,0.499419954,0.175923286,-0.000422996,ssp2,Negative,0,0,1,0,0,0,1,0
Guatemala,,3.402892562,0.643738088,-0.000828825,ssp2,Negative,0,0,1,1,0,0,2,0.5
Bolivia,,1.118989471,0.326128799,-0.000831896,ssp2,Negative,0,0,1,1,0,0,2,0.5
Paraguay,,1,0.301029996,-0.000833552,ssp2,Negative,0,0,1,1,0,0,2,0.5
Belize,,2.95522388,0.597171071,-0.000840302,ssp2,Negative,0,0,1,1,0,0,2,0.5
Uruguay,,1.968396227,0.472521871,-0.000863888,ssp2,Negative,0,0,1,1,0,0,2,0.5
Ethiopia,,0,0,-0.002599382,ssp2,Negative,0,0,2,0,0,0,2,0
Pakistan,,0,0,-0.005574511,ssp2,Negative,0,0,1,0,0,0,1,0
Netherlands,,6.204033606,0.85757573,0.000117446,ssp2,Positive,0,0,2,2,0,0,4,0.5
Sweden,,7.920631419,0.950395596,-0.007084302,ssp2,Negative,0,0,1,3,0,0,4,0.75
Norway,,125.7395217,2.102912064,-0.016968442,ssp2,Negative,0,1,3,4,0,0,8,0.5
Iceland,,13.25527039,1.153975459,-0.025050526,ssp2,Negative,0,0,0,2,0,0,2,1
Denmark,,9.865332856,1.036043035,-0.029120449,ssp2,Negative,1,2,0,0,1,0,4,0
Brunei,,0.665178572,0.221460814,-0.12422493,ssp2,Negative,0,0,1,0,0,0,1,0
Venezuela,,3.752123142,0.676887686,-0.177272305,ssp2,Negative,0,0,0,1,0,0,1,1
Australia,Australia,537.2750834,2.731004277,0.274022758,ssp2,Positive,4,1,53,41,0,0,99,0.414141414
Argentina,Argentina,33.66800127,1.539928804,-0.474611737,ssp2,Negative,3,0,13,6,0,1,23,0.260869565
United States,United States,193.4434541,2.288793327,-0.63613357,ssp2,Negative,1,6,20,19,0,0,46,0.413043478
Japan,,177.0171581,2.250461864,2.351636923,ssp5,Positive,21,4,94,22,11,0,152,0.144736842
Australia,Australia,493.8757693,2.69449619,2.218955979,ssp5,Positive,4,1,53,41,0,0,99,0.414141414
France,,35.10111096,1.557520567,0.869943493,ssp5,Positive,8,0,0,2,1,0,11,0.181818182
Germany,,49.01562257,1.699105679,0.542061889,ssp5,Positive,0,0,9,9,0,0,18,0.5
Spain,,55.26435342,1.750233332,0.449230793,ssp5,Positive,1,0,0,17,0,0,18,0.944444444
Chile,,80.56040967,1.911479399,0.39040217,ssp5,Positive,0,0,15,2,0,0,17,0.117647059
Vietnam,Vietnam,4.579504849,0.746595659,0.328740449,ssp5,Positive,0,1,4,0,0,0,5,0
Thailand,Thailand,0,0,0.245197837,ssp5,Positive,0,0,5,6,0,0,11,0.545454545
New Zealand,,3337.131229,3.523503406,0.268480434,ssp5,Positive,9,0,5,11,0,0,25,0.44
Indonesia,Indonesia,2.047880299,0.483997907,0.226889897,ssp5,Positive,0,0,3,1,0,0,4,0.25
United Kingdom,,296.3568852,2.473277999,0.21878106,ssp5,Positive,9,5,14,21,0,0,49,0.428571429
Brazil,,4.192965718,0.715415456,0.214601971,ssp5,Positive,0,0,3,4,0,0,7,0.571428571
Malaysia,,4.460593349,0.737239836,0.212339713,ssp5,Positive,0,0,3,2,0,0,5,0.4
Fiji,,10.54225352,1.062290609,0.20767741,ssp5,Positive,1,1,3,1,0,0,6,0.166666667
India,India,18.5614529,1.291401108,0.203772355,ssp5,Positive,0,0,7,2,0,0,9,0.222222222
Cambodia,,0,0,0.181385177,ssp5,Positive,0,0,3,2,0,0,5,0.4
Mexico,,50.64846425,1.713057412,0.182381813,ssp5,Positive,3,1,2,5,0,1,12,0.416666667
Peru,,7.817965986,0.945368419,0.160188801,ssp5,Positive,0,1,3,2,0,0,6,0.333333333
Italy,,19.97332925,1.321667375,0.129657999,ssp5,Positive,0,0,3,6,0,0,9,0.666666667
Cuba,,11.71443966,1.104297225,0.124492745,ssp5,Positive,0,0,2,2,0,0,4,0.5
Singapore,,1.65,0.423245874,0.086936986,ssp5,Positive,0,0,3,1,0,0,4,0.25
Zambia,,0,0,0.063875624,ssp5,Positive,0,0,2,0,0,0,2,0
Ghana,,0.151135474,0.061126438,0.060816835,ssp5,Positive,0,0,1,1,0,0,2,0.5
Tanzania,,0,0,0.056751556,ssp5,Positive,0,0,2,1,0,0,3,0.333333333
Laos,,2.992268041,0.601219692,0.050164842,ssp5,Positive,0,0,1,0,0,0,1,0
Myanmar,,0.519514192,0.181704761,0.050112132,ssp5,Positive,0,0,1,0,0,0,1,0
Bhutan,,0,0,0.044581112,ssp5,Positive,0,0,1,0,0,0,1,0
Benin,,0,0,0.037353142,ssp5,Positive,0,0,1,1,0,0,2,0.5
Finland,,8.337660356,0.970238073,0.036446323,ssp5,Positive,0,1,0,0,0,0,1,0
Philippines,Philippines,14.58285301,1.192646974,0.035236312,ssp5,Positive,0,0,4,1,0,0,5,0.2
China,China,77.11270736,1.892721691,0.039199463,ssp5,Positive,17,0,11,1,0,0,29,0.034482759
Kenya,,15.66566986,1.221822774,0.032637415,ssp5,Positive,0,0,1,1,0,0,2,0.5
Togo,,0,0,0.030353759,ssp5,Positive,0,0,0,1,0,0,1,1
Lithuania,,1.5,0.397940009,0.027354067,ssp5,Positive,0,0,0,1,0,0,1,1
Canada,Canada,149.4747844,2.17746373,0.016367489,ssp5,Positive,0,1,8,1,0,0,10,0.1
Brunei,,0.6875,0.227243782,0.015029939,ssp5,Positive,0,0,1,0,0,0,1,0
Malta,,3,0.602059991,0.014688155,ssp5,Positive,0,0,0,1,0,0,1,1
Austria,,3.368231047,0.640305601,0.014286505,ssp5,Positive,0,0,0,1,0,0,1,1
Timor-Leste,,0,0,0.00783768,ssp5,Positive,0,0,1,0,0,0,1,0
Malawi,,10.24234513,1.050856914,0.005599127,ssp5,Positive,0,0,2,0,0,0,2,0
Cameroon,,0.658368644,0.219681078,0,ssp5,Negative,0,0,1,0,0,0,1,0
Democratic Republic of the Congo,,2.156218856,0.49916711,0,ssp5,Negative,0,0,1,0,0,0,1,0
Mozambique,,0,0,0,ssp5,Negative,0,0,1,0,0,0,1,0
Nigeria,,0,0,0,ssp5,Negative,0,0,1,0,0,0,1,0
Uganda,,0.752684049,0.243703634,0,ssp5,Negative,0,0,1,0,0,0,1,0
Zimbabwe,,1.310257177,0.363660328,0,ssp5,Negative,0,0,1,0,0,0,1,0
Portugal,,6.878207294,0.896427404,-0.000692956,ssp5,Negative,0,0,2,0,0,0,2,0
Ethiopia,,0,0,-0.001258796,ssp5,Negative,0,0,2,0,0,0,2,0
Panama,,0,0,-0.001470564,ssp5,Negative,0,0,0,1,0,0,1,1
Nicaragua,,0,0,-0.001476773,ssp5,Negative,0,0,0,1,0,0,1,1
Colombia,,1.070952107,0.316170055,-0.001477507,ssp5,Negative,0,0,0,1,0,0,1,1
Ecuador,,0.572793741,0.196671772,-0.00148187,ssp5,Negative,0,0,0,1,0,0,1,1
Suriname,,0.499419954,0.175923286,-0.00152001,ssp5,Negative,0,0,1,0,0,0,1,0
Sweden,,9.057804809,1.002503203,-0.001967822,ssp5,Negative,0,0,1,3,0,0,4,0.75
Belize,,2.95522388,0.597171071,-0.002993996,ssp5,Negative,0,0,1,1,0,0,2,0.5
Bolivia,,1.120997504,0.326540157,-0.002996882,ssp5,Negative,0,0,1,1,0,0,2,0.5
Paraguay,,1,0.301029996,-0.002997099,ssp5,Negative,0,0,1,1,0,0,2,0.5
Uruguay,,2.079245283,0.488444285,-0.0030035,ssp5,Negative,0,0,1,1,0,0,2,0.5
Guatemala,,3.404958678,0.643941839,-0.003005011,ssp5,Negative,0,0,1,1,0,0,2,0.5
Pakistan,,0,0,-0.005114204,ssp5,Negative,0,0,1,0,0,0,1,0
Denmark,,9.944764424,1.039206418,-0.020571159,ssp5,Negative,1,2,0,0,1,0,4,0
Netherlands,,6.169457258,0.85548628,-0.013101128,ssp5,Negative,0,0,2,2,0,0,4,0.5
Iceland,,13.27176902,1.154477808,-0.022316252,ssp5,Negative,0,0,0,2,0,0,2,1
Norway,,91.88179569,1.967930603,-0.050015054,ssp5,Negative,0,1,3,4,0,0,8,0.5
Venezuela,,3.728768578,0.674748061,-0.119236956,ssp5,Negative,0,0,0,1,0,0,1,1
Argentina,Argentina,32.59098629,1.526222756,-0.299618813,ssp5,Negative,3,0,13,6,0,1,23,0.260869565
United States,United States,195.7261947,2.293862191,-0.653840608,ssp5,Negative,1,6,20,19,0,0,46,0.413043478
